sentence_index,timestamp,model_used,provider,original,compressed,decompressed,target_compression_ratio,achieved_compression_ratio,compression_success,compression_attempts,original_length,compressed_length,decompressed_length,characters_saved,compression_percentage,embedding_similarity,bleu_score,keyword_preservation,llm_similarity,composite_score,semantic_interpretation,llm_analysis,expansion_ratio,recovery_ratio
0,1751314010.890541,gemini-2.5-pro,gemini,"The ancient Mediterranean trading routes, established by Phoenician merchants around 1200 BCE, fundamentally transformed economic relationships between distant civilizations by enabling the exchange of not only goods like purple dye, cedar wood, and precious metals, but also ideas, technologies, and cultural practices that would shape the development of Western civilization.",~12cBC Phoenician⛵️🕸️🌍💰:📦⇄💡/⚙️/🎭⇒🏛️,"Beginning around the 12th century BC, the seafaring Phoenicians established a vast commercial network across the world, where the exchange of goods also facilitated the transfer of ideas, technology, and culture, which in turn laid the foundation for subsequent civilizations.",0.15,0.09283819628647215,True,2,377,35,276,342,90.71618037135278,0.7434632778167725,0.028753208661117597,0.1724137931034483,0.7,0.4732723836979449,Moderate,"Both sentences convey the idea that the Phoenicians established a significant trading network that facilitated the exchange of goods and cultural elements, impacting future civilizations. However, the original sentence specifies the Mediterranean region and mentions specific goods like purple dye, cedar wood, and precious metals, which are not mentioned in the decompressed version. The decompressed sentence generalizes the network as ""across the world"" and omits the specific timeframe of ""around 1200 BCE,"" instead using ""around the 12th century BC."" Additionally, the original highlights the transformation of economic relationships and the shaping of Western civilization, while the decompressed version focuses on laying the foundation for subsequent civilizations without specifying Western civilization. These differences result in some loss of detail and specificity.",7.885714285714286,0.7320954907161804
1,1751314083.7392151,gemini-2.5-pro,gemini,"Climate scientists at the International Panel on Climate Change have determined through extensive analysis of ice core samples, satellite temperature measurements, and oceanic thermal data that global average temperatures have risen by approximately 1.1 degrees Celsius since pre-industrial times, with the most dramatic increases occurring in the Arctic regions where permafrost melting is accelerating at unprecedented rates.",IPCC(🧊🛰️🌊📊)⇒🌍🌡️↑~1.1°C since pre-ind; Arctic↑↑↑ & permafrost💧⏩,"Based on comprehensive data analysis of ice, oceans, and satellite observations, the Intergovernmental Panel on Climate Change has concluded that global temperatures have risen by approximately 1.1°C since pre-industrial times; the Arctic is warming at a significantly accelerated rate, and its permafrost is thawing rapidly.",0.15,0.1451990632318501,True,1,427,62,325,365,85.48009367681499,0.8936611413955688,0.16095963963602095,0.4166666666666667,0.9,0.6536236036792082,Good,"The two sentences convey very similar meanings with minor differences in detail. Both sentences communicate that the Intergovernmental Panel on Climate Change (IPCC) has found, through extensive data analysis, that global temperatures have increased by approximately 1.1 degrees Celsius since pre-industrial times. They both highlight the significant warming in the Arctic and the rapid thawing of permafrost. The original sentence specifies the types of data used (ice core samples, satellite temperature measurements, and oceanic thermal data), while the decompressed version generalizes this to ""comprehensive data analysis of ice, oceans, and satellite observations."" This results in a slight loss of specificity, but the core message remains intact.",5.241935483870968,0.7611241217798594
2,1751314178.806912,gemini-2.5-pro,gemini,"The human brain's neuroplasticity allows for remarkable adaptation throughout life, as demonstrated by stroke patients who recover speech and motor functions through intensive rehabilitation therapy that essentially rewires neural pathways, creating new connections that bypass damaged areas and restore cognitive abilities previously thought to be permanently lost.","∞ 🧠 plasticity: rehab ↪ stroke dmg, restoring lost fn.","The lifelong plasticity of the brain enables rehabilitation to counteract the damage from a stroke, restoring lost functions.",0.15,0.14754098360655737,True,1,366,54,125,312,85.24590163934427,0.8074859976768494,0.003540201034367062,0.14705882352941177,0.6,0.4523656042158105,Moderate,"The decompressed sentence captures the general concept of the brain's ability to adapt and recover functions after a stroke, which is the core idea of the original sentence. However, it loses several specific details. The original sentence mentions ""neuroplasticity,"" ""intensive rehabilitation therapy,"" ""rewires neural pathways,"" and ""creating new connections that bypass damaged areas,"" which are not explicitly stated in the decompressed version. Additionally, the original highlights the restoration of ""speech and motor functions"" and ""cognitive abilities previously thought to be permanently lost,"" which are generalized to ""lost functions"" in the decompressed sentence. These omissions result in a loss of specificity and detail, leading to a generally similar meaning but with some information lost or changed.",2.314814814814815,0.34153005464480873
3,1751314304.5547252,gemini-2.5-pro,gemini,"Modern cryptocurrency blockchain technology utilizes distributed ledger systems with cryptographic hash functions to create immutable transaction records that are verified by thousands of independent nodes worldwide, eliminating the need for traditional banking intermediaries while consuming enormous amounts of electrical energy in the process.","₿🔗:🌐🔒📜,🆚🏦,☹️⏫⚡","Bitcoin's blockchain is a global and secure public ledger that stands in contrast to traditional banks, but a significant drawback is its high energy consumption.",0.15,0.04046242774566474,True,2,346,14,162,332,95.95375722543352,0.6513822078704834,0.00633903349763683,0.12903225806451613,0.6,0.4024889206735756,Moderate,"The decompressed sentence captures the general concept of blockchain technology being a global and secure public ledger that contrasts with traditional banking systems, which aligns with the original sentence's mention of eliminating the need for traditional banking intermediaries. However, the decompressed sentence specifically refers to Bitcoin's blockchain, whereas the original discusses modern cryptocurrency blockchain technology in a broader sense. Both sentences mention high energy consumption as a drawback. Key details lost include the use of distributed ledger systems, cryptographic hash functions, the creation of immutable transaction records, and the verification by thousands of independent nodes. Overall, the decompressed sentence simplifies and narrows the scope of the original information.",11.571428571428571,0.4682080924855491
4,1751314523.080377,gemini-2.5-pro,gemini,"The James Webb Space Telescope, positioned at the second Lagrange point approximately 1.5 million kilometers from Earth, uses its 6.5-meter segmented mirror and advanced infrared instruments to observe the universe's earliest galaxies, some formed just 400 million years after the Big Bang, providing unprecedented insights into cosmic evolution and star formation processes.","JWST@L2(1.5Gm🌍)6.5m⬢IR🔭👀🌌(BB+400Ma)→💡🌌📜,⭐🌱","The James Webb Space Telescope, an infrared observatory with a 6.5-meter hexagonal mirror positioned 1.5 million kilometers from Earth at the second Lagrange point, observes the early universe approximately 400 million years after the Big Bang to shed light on cosmic history and the formation of stars.",0.15,0.112,True,2,375,42,303,333,88.8,0.9445128440856934,0.32212289938179534,0.5757575757575758,0.9,0.7329299482535823,Good,"Both sentences convey the primary function and positioning of the James Webb Space Telescope, emphasizing its role in observing the early universe and contributing to the understanding of cosmic evolution and star formation. The original sentence mentions ""advanced infrared instruments"" and ""unprecedented insights,"" while the decompressed version simplifies this to ""an infrared observatory"" and ""shed light on cosmic history."" These differences are minor, as the core meaning and key details about the telescope's purpose and capabilities are preserved.",7.214285714285714,0.808
5,1751314870.100577,gemini-2.5-pro,gemini,"Quantum entanglement, described by Einstein as 'spooky action at a distance,' occurs when two particles become correlated in such a way that measuring the quantum state of one particle instantly determines the state of its partner, regardless of the physical distance separating them, challenging our classical understanding of locality and causality in physics.","QE: 2p🔗; measuring 1 ⚡→ψ₂ ∀Δx, challenging locality.","Quantum entanglement is the phenomenon where two particles are linked such that measuring one instantaneously determines the state of the other, regardless of the distance separating them, which challenges the principle of locality.",0.15,0.143646408839779,True,2,362,52,232,310,85.6353591160221,0.854459822177887,0.13252566900627633,0.38461538461538464,0.8,0.5997661573776982,Moderate,"Both sentences convey the core concept of quantum entanglement, emphasizing the instantaneous correlation between two particles regardless of distance, which challenges the principle of locality. The decompressed sentence omits Einstein's description of entanglement as ""spooky action at a distance"" and does not explicitly mention the challenge to causality in physics. However, the primary idea of entanglement affecting our understanding of locality is preserved, resulting in a very similar meaning with minor details differing.",4.461538461538462,0.6408839779005525
6,1751314947.071052,gemini-2.5-pro,gemini,"The Amazon rainforest ecosystem supports over 400 billion individual trees representing approximately 16,000 different species, creates roughly 20% of the world's oxygen, and serves as home to an estimated 10% of Earth's biodiversity, while also playing a crucial role in global climate regulation through its massive carbon storage capacity.","Amazon🌳: >400B🌴/16k spp, →20%🌍O₂, 10%🌍🧬, key🌍C-sink","The Amazon rainforest is home to more than 400 billion trees and 16,000 species, produces 20% of the Earth's oxygen, contains 10% of the world's biodiversity, and is a key global carbon sink.",0.15,0.14912280701754385,True,1,342,51,191,291,85.08771929824562,0.9163529872894287,0.18441981151287232,0.3793103448275862,0.9,0.6576519274549203,Good,"The decompressed sentence retains most of the key information from the original sentence. Both sentences mention the Amazon rainforest's vast number of trees (over 400 billion) and species (approximately 16,000), its contribution to global oxygen production (20%), its biodiversity (10% of Earth's), and its role in carbon storage. The main difference is the original sentence's emphasis on the ecosystem's role in global climate regulation, which is more explicitly stated as ""playing a crucial role in global climate regulation through its massive carbon storage capacity."" The decompressed version simplifies this to ""a key global carbon sink,"" which conveys a similar idea but with less detail. Overall, the core meaning and key facts are preserved, with only minor differences in detail and emphasis.",3.7450980392156863,0.5584795321637427
7,1751315148.8392582,gemini-2.5-pro,gemini,"Machine learning algorithms trained on vast datasets of human language can now generate coherent text, translate between languages, answer complex questions, and even write computer code, but they fundamentally operate through statistical pattern recognition rather than true understanding, raising philosophical questions about the nature of intelligence and consciousness.",LLMs:🗣️✍️💻 via 📈🕸️ patterns. Not true 🤔 ∴ Φ(🧠&C)?,"While Large Language Models generate language and code by recognizing statistical patterns within their neural networks, this is not genuine cognition, which therefore raises the question of whether they lack the consciousness that arises from a biological mind.",0.15,0.13101604278074866,True,2,374,49,262,325,86.89839572192514,0.5840351581573486,0.006104768085959653,0.15625,0.7,0.4176815010643965,Moderate,"Both sentences discuss the capabilities of machine learning models, specifically their ability to generate language and code through statistical pattern recognition. They also touch on the philosophical implications regarding intelligence and consciousness. However, the original sentence provides more detail about the specific tasks these models can perform (e.g., translating languages, answering complex questions) and emphasizes the distinction between statistical operation and true understanding. The decompressed sentence focuses more on the lack of genuine cognition and consciousness, omitting some of the specific capabilities mentioned in the original. Thus, while the core theme is similar, some specific information is lost, resulting in a generally similar meaning.",5.346938775510204,0.7005347593582888
8,1751315261.118249,gemini-2.5-pro,gemini,"The Great Pacific Garbage Patch, a massive accumulation of plastic debris floating in the North Pacific Ocean between Hawaii and California, covers an area larger than twice the size of Texas and contains an estimated 80,000 metric tons of plastic waste that poses severe threats to marine life through ingestion, entanglement, and toxic chemical leaching.","N🌊🗑️(HI-CA) >2xTX ~80kt 🐟(🍽️,🕸️,🧪)☠️","The North Pacific garbage patch, located in the ocean between Hawaii and California, is now more than twice the size of Texas with an estimated weight of 80,000 tons, and it is killing marine life through the ingestion of plastic, entanglement in debris, and chemical poisoning.",0.15,0.10112359550561797,True,1,356,36,278,320,89.8876404494382,0.9173129200935364,0.2782545065323171,0.5757575757575758,0.9,0.7159962924860395,Good,"The two sentences convey very similar meanings with only minor differences in detail and phrasing. Both describe a large accumulation of plastic debris in the North Pacific Ocean, located between Hawaii and California, and emphasize its size as being more than twice that of Texas. They both estimate the weight of the debris at 80,000 metric tons and highlight the threats to marine life, including ingestion, entanglement, and chemical effects. The original sentence uses ""The Great Pacific Garbage Patch"" as a specific term, while the decompressed version uses ""The North Pacific garbage patch,"" which is a minor difference. Additionally, the decompressed version uses ""chemical poisoning"" instead of ""toxic chemical leaching,"" which slightly alters the nuance but not the overall meaning. Overall, the key information is preserved with only slight variations in wording.",7.722222222222222,0.7808988764044944
9,1751315443.057937,gemini-2.5-pro,gemini,"CRISPR-Cas9 gene editing technology allows scientists to make precise modifications to DNA sequences by using a guide RNA to direct the Cas9 enzyme to specific genomic locations where it cuts the double helix, enabling researchers to delete, insert, or replace genetic material with unprecedented accuracy and potentially cure inherited diseases.","CRISPR:gRNA🧭C9✂️✨🎯🧬⇒➖➕🔄,~⚕️🧬💔","The CRISPR-Cas9 system utilizes a guide RNA to navigate the Cas9 enzyme to a specific target on a DNA strand, where it makes a precise cut, which enables the removal, addition, or replacement of genetic material, holding therapeutic promise for correcting genetic diseases.",0.15,0.0838150289017341,True,2,346,29,273,317,91.61849710982659,0.8869946002960205,0.12454188667792922,0.25,0.9,0.611006757424392,Good,"Both sentences convey the core concept of CRISPR-Cas9 technology, emphasizing its ability to make precise modifications to DNA sequences using a guide RNA and the Cas9 enzyme. They both highlight the potential for therapeutic applications in correcting genetic diseases. The original sentence mentions ""unprecedented accuracy"" and ""inherited diseases,"" while the decompressed version uses ""precise cut"" and ""genetic diseases,"" which are slightly less specific but still convey a similar meaning. Overall, the key information is preserved with minor differences in phrasing and detail.",9.413793103448276,0.7890173410404624
