sentence_index,timestamp,model_used,provider,original,compressed,decompressed,target_compression_ratio,achieved_compression_ratio,compression_success,compression_attempts,original_length,compressed_length,decompressed_length,characters_saved,compression_percentage,embedding_similarity,bleu_score,keyword_preservation,llm_similarity,composite_score,semantic_interpretation,llm_analysis,expansion_ratio,recovery_ratio
0,1751316769.338561,gpt-4o-2024-11-20,openai,"The ancient Mediterranean trading routes, established by Phoenician merchants around 1200 BCE, fundamentally transformed economic relationships between distant civilizations by enabling the exchange of not only goods like purple dye, cedar wood, and precious metals, but also ideas, technologies, and cultural practices that would shape the development of Western civilization.","🌍📜Phoenicians (1200 BCE) traded 🛠️📚🎭, shaping Western 🌐✨","The Phoenicians, around 1200 BCE, engaged in trade involving tools, knowledge, and art, significantly influencing the development of Western civilization and culture.",0.15,0.14854111405835543,True,4,377,56,166,321,85.14588859416446,0.7430582046508789,0.08694272291086375,0.10344827586206896,0.5,0.4109956611498502,Moderate,"The decompressed sentence captures the essence of the Phoenicians' role in influencing Western civilization through trade, which aligns with the original sentence's mention of their impact on economic relationships and cultural development. However, significant details are lost or altered. The original specifies the Mediterranean trading routes and the types of goods exchanged (purple dye, cedar wood, precious metals), while the decompressed version generalizes these to ""tools, knowledge, and art."" The original also emphasizes the exchange of ideas, technologies, and cultural practices, which is only broadly implied in the decompressed sentence. Overall, while the core idea of Phoenician influence is retained, the specifics of how this influence was exerted and the nature of the exchanges are not fully preserved.",2.9642857142857144,0.4403183023872679
1,1751316776.477609,gpt-4o-2024-11-20,openai,"Climate scientists at the International Panel on Climate Change have determined through extensive analysis of ice core samples, satellite temperature measurements, and oceanic thermal data that global average temperatures have risen by approximately 1.1 degrees Celsius since pre-industrial times, with the most dramatic increases occurring in the Arctic regions where permafrost melting is accelerating at unprecedented rates.",IPCC: 🌍↑1.1°C vs pre-industrial; ❄️Arctic warming fastest.,"The Intergovernmental Panel on Climate Change (IPCC) reports that the Earth's average temperature has risen by 1.1°C compared to pre-industrial levels, with the Arctic experiencing the fastest rate of warming.",0.15,0.1358313817330211,True,2,427,58,209,369,86.41686182669788,0.709466814994812,0.06265438509555052,0.2222222222222222,0.7,0.47981536596199814,Moderate,"The decompressed sentence retains the core information that the Earth's average temperature has increased by 1.1°C since pre-industrial times and highlights the Arctic as the region experiencing the fastest warming. However, it omits several details from the original sentence, such as the specific sources of data used by the scientists (ice core samples, satellite temperature measurements, and oceanic thermal data) and the mention of permafrost melting at unprecedented rates. These omissions result in a loss of context and specificity, leading to a generally similar meaning but with some information lost.",3.603448275862069,0.4894613583138173
2,1751316784.660324,gpt-4o-2024-11-20,openai,"The human brain's neuroplasticity allows for remarkable adaptation throughout life, as demonstrated by stroke patients who recover speech and motor functions through intensive rehabilitation therapy that essentially rewires neural pathways, creating new connections that bypass damaged areas and restore cognitive abilities previously thought to be permanently lost.","🧠↔️🔄 enables adaptation, rewiring 🧠's lost functions.",Neuroplasticity facilitates adaptation and the rewiring of the brain to recover lost functions.,0.15,0.1448087431693989,True,2,366,53,95,313,85.51912568306011,0.7585537433624268,0.0018074254641435856,0.17647058823529413,0.5,0.4132217257486156,Moderate,"The decompressed sentence captures the general concept of neuroplasticity facilitating adaptation and recovery of lost functions, which is the core idea of the original sentence. However, it lacks significant details present in the original, such as the specific context of stroke patients, the role of intensive rehabilitation therapy, the process of creating new neural connections, and the restoration of cognitive abilities. These omissions result in a partial similarity, as the decompressed version provides a broad overview without the specific examples and mechanisms described in the original.",1.7924528301886793,0.25956284153005466
3,1751316792.915662,gpt-4o-2024-11-20,openai,"Modern cryptocurrency blockchain technology utilizes distributed ledger systems with cryptographic hash functions to create immutable transaction records that are verified by thousands of independent nodes worldwide, eliminating the need for traditional banking intermediaries while consuming enormous amounts of electrical energy in the process.",🔗⛓️=📜+🔒+🖧➡️🔐📝♾️🔄🏦❌⚡🔋⬆️,"A blockchain is a secure, decentralized network that ensures encrypted, immutable records with infinite scalability, enabling trustless transactions without reliance on centralized banks or excessive energy consumption, while improving efficiency and sustainability.",0.15,0.06358381502890173,True,2,346,22,266,324,93.64161849710982,0.6316680312156677,0.0069927229381520455,0.12903225806451613,0.5,0.36670540556523396,Poor,"The two sentences share some core concepts, such as the use of blockchain technology to create secure and immutable records and the elimination of traditional banking intermediaries. However, there are significant differences in the details and implications presented. The original sentence emphasizes the use of distributed ledger systems, cryptographic hash functions, and the verification by independent nodes, as well as the high energy consumption associated with blockchain technology. In contrast, the decompressed sentence highlights infinite scalability, improved efficiency, and sustainability, while downplaying or omitting the energy consumption aspect. These differences result in a partial similarity, with significant information differences regarding energy use and scalability.",12.090909090909092,0.7687861271676301
4,1751316803.842918,gpt-4o-2024-11-20,openai,"The James Webb Space Telescope, positioned at the second Lagrange point approximately 1.5 million kilometers from Earth, uses its 6.5-meter segmented mirror and advanced infrared instruments to observe the universe's earliest galaxies, some formed just 400 million years after the Big Bang, providing unprecedented insights into cosmic evolution and star formation processes.","JWST📡🔭@L2(1.5Mkm),6.5m🔦:🌌400Myrs post-💥,studies🌠🔬evol.","The James Webb Space Telescope, positioned at the second Lagrange point (1.5 million kilometers from Earth), with its 6.5-meter mirror, observes the universe as it appeared 400 million years after the Big Bang and conducts studies on the evolution of stars and galaxies.",0.15,0.144,True,5,375,54,270,321,85.6,0.9429117441177368,0.38107187709858586,0.5151515151515151,0.8,0.7021182016853412,Good,"The decompressed sentence retains the core information about the James Webb Space Telescope's position, its mirror size, and its observational focus on the early universe and cosmic evolution. However, it omits details about the telescope's advanced infrared instruments and the specific mention of ""unprecedented insights"" into cosmic evolution and star formation processes. The original sentence provides a more detailed description of the telescope's capabilities and the significance of its observations, while the decompressed version simplifies these aspects.",5.0,0.72
5,1751316812.470266,gpt-4o-2024-11-20,openai,"Quantum entanglement, described by Einstein as 'spooky action at a distance,' occurs when two particles become correlated in such a way that measuring the quantum state of one particle instantly determines the state of its partner, regardless of the physical distance separating them, challenging our classical understanding of locality and causality in physics.","⚛️🔗✨: Entangled particles defy 🕒📍, linking instantly.","Entangled particles defy the constraints of time and space, connecting instantaneously regardless of distance.",0.15,0.1464088397790055,True,5,362,53,110,309,85.35911602209944,0.7013988494873047,0.0025782412339660143,0.11538461538461539,0.5,0.3840122261699077,Poor,"The decompressed sentence captures the core concept of quantum entanglement, specifically the idea of instantaneous connection regardless of distance. However, it lacks several key details present in the original sentence. The original mentions Einstein's description, the process of measuring quantum states, and the challenge to classical physics concepts like locality and causality. These elements are not present in the decompressed version, resulting in significant information loss and a partial similarity in meaning.",2.0754716981132075,0.30386740331491713
6,1751316821.126661,gpt-4o-2024-11-20,openai,"The Amazon rainforest ecosystem supports over 400 billion individual trees representing approximately 16,000 different species, creates roughly 20% of the world's oxygen, and serves as home to an estimated 10% of Earth's biodiversity, while also playing a crucial role in global climate regulation through its massive carbon storage capacity.","🌳Amazon: $400B+, 16K🌱, 10%🌍, 20%O₂, ♻️CO₂, 🌡️reg.","The Amazon rainforest, valued at over $400 billion, contains approximately 16,000 species of plants, contributes 10% of the Earth's biodiversity, produces 20% of the planet's oxygen, recycles carbon dioxide, and plays a critical role in regulating the global climate.",0.15,0.14327485380116958,True,3,342,49,267,293,85.67251461988305,0.8814914226531982,0.16782006730283783,0.41379310344827586,0.7,0.5907700609461822,Moderate,"The two sentences convey generally similar meanings but with some differences in detail and emphasis. Both mention the Amazon rainforest's biodiversity, its contribution to global oxygen production, and its role in climate regulation. However, the original sentence emphasizes the number of individual trees and their carbon storage capacity, while the decompressed version focuses on the economic valuation of the rainforest and mentions carbon dioxide recycling. The original specifies the rainforest's support of 400 billion trees, which is not mentioned in the decompressed version. Additionally, the decompressed version refers to ""species of plants"" rather than ""individual trees,"" which slightly shifts the focus. Overall, while the core ideas are similar, some specific details and emphases differ.",5.448979591836735,0.7807017543859649
7,1751316829.5345411,gpt-4o-2024-11-20,openai,"Machine learning algorithms trained on vast datasets of human language can now generate coherent text, translate between languages, answer complex questions, and even write computer code, but they fundamentally operate through statistical pattern recognition rather than true understanding, raising philosophical questions about the nature of intelligence and consciousness.","🤖📚→📝,🌐,💻,❓;⚙️🔁📊≠🧠,🔥🤔AI🗣️debates.","Robots and artificial intelligence are increasingly contributing to writing, global communication, and computing, raising questions about their role; however, the iterative processing of data by machines is not equivalent to human intelligence, sparking passionate debates about AI's capabilities and implications.",0.15,0.0855614973262032,True,2,374,32,314,342,91.44385026737967,0.5916019678115845,0.015548516469889119,0.125,0.5,0.35559029363745315,Poor,"Both sentences discuss the capabilities of AI and machine learning, such as text generation, translation, and computing, and touch upon the philosophical implications regarding intelligence. However, the original sentence specifically mentions machine learning algorithms and their reliance on statistical pattern recognition, while the decompressed sentence generalizes to robots and AI without detailing the mechanisms. The decompressed version also emphasizes debates about AI's role and implications more broadly, rather than focusing on the philosophical questions of intelligence and consciousness. Thus, while there is a thematic overlap, significant details and nuances are lost or altered, resulting in partial similarity.",9.8125,0.839572192513369
8,1751316837.750645,gpt-4o-2024-11-20,openai,"The Great Pacific Garbage Patch, a massive accumulation of plastic debris floating in the North Pacific Ocean between Hawaii and California, covers an area larger than twice the size of Texas and contains an estimated 80,000 metric tons of plastic waste that poses severe threats to marine life through ingestion, entanglement, and toxic chemical leaching.","🌊🗑️: 2×TX, 80kT plastic, 🐟☠️ via 🍴, 🪢, ☣️.","The ocean is being polluted with two times the amount of toxic waste, including 80,000 tons of plastic, which is causing harm to marine life through ingestion, entanglement, and contamination.",0.15,0.11797752808988764,True,2,356,42,192,314,88.20224719101124,0.7168858051300049,0.1482186711981419,0.2727272727272727,0.5,0.44925493032408437,Moderate,"The decompressed sentence captures some key elements of the original, such as the presence of 80,000 tons of plastic waste and the threats to marine life through ingestion, entanglement, and contamination. However, it lacks specific details about the Great Pacific Garbage Patch, including its location in the North Pacific Ocean between Hawaii and California, its size comparison to Texas, and the specific mention of toxic chemical leaching. The decompressed version also introduces ambiguity with the phrase ""two times the amount of toxic waste,"" which is not present in the original. Overall, while there is partial similarity in the environmental impact described, significant contextual and specific information is lost.",4.571428571428571,0.5393258426966292
9,1751316846.762253,gpt-4o-2024-11-20,openai,"CRISPR-Cas9 gene editing technology allows scientists to make precise modifications to DNA sequences by using a guide RNA to direct the Cas9 enzyme to specific genomic locations where it cuts the double helix, enabling researchers to delete, insert, or replace genetic material with unprecedented accuracy and potentially cure inherited diseases.",🧬CRISPR🔬:🛠️DNA✂️w/RNA🔗🩸edit🔄insert/replace➡️cures.,"CRISPR technology is a groundbreaking tool in genetic engineering that uses RNA-guided mechanisms to edit DNA by cutting, modifying, inserting, or replacing genetic sequences, offering potential cures for various diseases.",0.15,0.14450867052023122,True,4,346,50,222,296,85.54913294797689,0.8466678857803345,0.01239312287048287,0.15625,0.8,0.527728990308197,Moderate,"Both sentences convey the core concept of CRISPR technology being a tool for precise genetic editing with potential applications in curing diseases. The original sentence provides more specific details, such as the use of the Cas9 enzyme and the process of directing it to specific genomic locations, which are not explicitly mentioned in the decompressed version. However, the decompressed sentence captures the essence of the technology's function and its potential impact on disease treatment. The main difference lies in the level of detail regarding the mechanism and specificity of the editing process.",4.44,0.6416184971098265
