sentence_index,timestamp,model_used,provider,original,compressed,decompressed,target_compression_ratio,achieved_compression_ratio,compression_success,compression_attempts,original_length,compressed_length,decompressed_length,characters_saved,compression_percentage,embedding_similarity,bleu_score,keyword_preservation,llm_similarity,composite_score,semantic_interpretation,llm_analysis,expansion_ratio,recovery_ratio
0,1751318608.92047,gpt-4o-2024-11-20,openai,"The ancient Mediterranean trading routes, established by Phoenician merchants around 1200 BCE, fundamentally transformed economic relationships between distant civilizations by enabling the exchange of not only goods like purple dye, cedar wood, and precious metals, but also ideas, technologies, and cultural practices that would shape the development of Western civilization.",🌍📜Phoenicians (1200 BCE): 🛳️💱🔄🛠️📚🎭→🌍📖 Western roots.,"The Phoenicians, around 1200 BCE, were skilled seafarers and traders who facilitated the exchange of goods, tools, knowledge, and cultural practices, including writing and art, which significantly influenced the foundational development of Western civilization.",0.15,0.1379310344827586,True,4,377,52,261,325,86.20689655172413,0.7296844720840454,0.1670447592698599,0.2413793103448276,0.7,0.5105901555481511,Moderate,"Both sentences discuss the role of the Phoenicians around 1200 BCE in facilitating trade and cultural exchange that influenced Western civilization. Key elements such as the timeframe, the Phoenicians' role as traders, and the impact on Western civilization are preserved. However, the original sentence emphasizes the transformation of economic relationships and specifies goods like purple dye, cedar wood, and precious metals, which are not mentioned in the decompressed version. The decompressed sentence adds details about the Phoenicians being skilled seafarers and includes specific cultural elements like writing and art, which are not explicitly mentioned in the original. Overall, while the core idea of cultural and economic influence is maintained, there are differences in the specifics of what was exchanged and the emphasis on certain aspects.",5.019230769230769,0.6923076923076923
1,1751318618.732793,gpt-4o-2024-11-20,openai,"Climate scientists at the International Panel on Climate Change have determined through extensive analysis of ice core samples, satellite temperature measurements, and oceanic thermal data that global average temperatures have risen by approximately 1.1 degrees Celsius since pre-industrial times, with the most dramatic increases occurring in the Arctic regions where permafrost melting is accelerating at unprecedented rates.",IPCC: 🌍↑1.1°C vs pre-industrial; ❄️Arctic warming fastest.,"The Intergovernmental Panel on Climate Change (IPCC) reports that the Earth's average temperature has risen by 1.1 degrees Celsius compared to pre-industrial levels, with the Arctic experiencing the fastest rate of warming.",0.15,0.1358313817330211,True,2,427,58,223,369,86.41686182669788,0.7225567102432251,0.0772526033147154,0.2777777777777778,0.7,0.4977730892914662,Moderate,"The decompressed sentence retains the core information that the Earth's average temperature has increased by 1.1 degrees Celsius since pre-industrial times and highlights the Arctic as the region experiencing the fastest warming. However, it omits several details from the original sentence, such as the specific sources of data used by the scientists (ice core samples, satellite temperature measurements, and oceanic thermal data) and the mention of permafrost melting at unprecedented rates. These omissions result in a loss of context and specificity, leading to a generally similar meaning but with some information lost.",3.844827586206896,0.522248243559719
2,1751318627.574922,gpt-4o-2024-11-20,openai,"The human brain's neuroplasticity allows for remarkable adaptation throughout life, as demonstrated by stroke patients who recover speech and motor functions through intensive rehabilitation therapy that essentially rewires neural pathways, creating new connections that bypass damaged areas and restore cognitive abilities previously thought to be permanently lost.",🧠↔️🔄=adapt; rewires➡️restore⚙️+lost functions.,"The brain has the ability to adapt and rewire itself, enabling the restoration of lost functions.",0.15,0.1256830601092896,True,2,366,46,97,320,87.43169398907104,0.7213769555091858,0.0029045762341025,0.088235294117647,0.5,0.3846410607231056,Poor,"The decompressed sentence captures the general concept of the brain's ability to adapt and rewire itself, which is a key aspect of neuroplasticity. However, it lacks several specific details present in the original sentence. The original mentions the context of stroke patients, the recovery of speech and motor functions, the role of intensive rehabilitation therapy, and the creation of new neural connections to bypass damaged areas. These details are significant in illustrating the process and implications of neuroplasticity, and their absence in the decompressed sentence results in a partial similarity with significant information differences.",2.108695652173913,0.2650273224043716
3,1751318638.940913,gpt-4o-2024-11-20,openai,"Modern cryptocurrency blockchain technology utilizes distributed ledger systems with cryptographic hash functions to create immutable transaction records that are verified by thousands of independent nodes worldwide, eliminating the need for traditional banking intermediaries while consuming enormous amounts of electrical energy in the process.",⛓️+🌍📜+🔒➡️📊🔐✔️♾️🔄🏦❌⚡⬆️,"The interconnected global system of agreements and secure protocols leads to data encryption, ensuring infinite cycles of secure transactions without disruptions, while enhancing financial stability and efficiency.",0.15,0.0606936416184971,True,2,346,21,214,325,93.9306358381503,0.5576177835464478,0.0061605148250196,0.0,0.3,0.2585174380289382,Poor,"The two sentences discuss different aspects of financial technology systems. The original sentence focuses on the specific characteristics of cryptocurrency blockchain technology, emphasizing the use of distributed ledger systems, cryptographic hash functions, and the role of independent nodes in verifying transactions. It also highlights the elimination of traditional banking intermediaries and the high energy consumption associated with these processes. In contrast, the decompressed sentence speaks more generally about a global system of agreements and secure protocols, mentioning data encryption and secure transactions, but it lacks specific references to blockchain technology, distributed ledgers, or the energy consumption aspect. The decompressed sentence also introduces concepts like financial stability and efficiency, which are not present in the original. Overall, the core details and technical specifics of blockchain technology are lost, resulting in a low semantic similarity score.",10.19047619047619,0.6184971098265896
4,1751318650.2913542,gpt-4o-2024-11-20,openai,"The James Webb Space Telescope, positioned at the second Lagrange point approximately 1.5 million kilometers from Earth, uses its 6.5-meter segmented mirror and advanced infrared instruments to observe the universe's earliest galaxies, some formed just 400 million years after the Big Bang, providing unprecedented insights into cosmic evolution and star formation processes.",JWST@L2(1.5Mkm)🔭6.5m+IR sees 400Myr post-🅱️🌌→cosmic evo.,"The James Webb Space Telescope, positioned at the second Lagrange point approximately 1.5 million kilometers from Earth, with its 6.5-meter infrared mirror, observes the universe as it appeared 400 million years after the Big Bang, providing insights into cosmic evolution.",0.15,0.1493333333333333,True,3,375,56,273,319,85.06666666666666,0.9420849084854126,0.5055011325001006,0.6363636363636364,0.7,0.7209984263183712,Good,"The decompressed sentence retains the core information about the James Webb Space Telescope's position at the second Lagrange point, its distance from Earth, and its role in observing the universe shortly after the Big Bang to provide insights into cosmic evolution. However, it loses specific details about the telescope's segmented mirror design, the advanced infrared instruments, the focus on observing the universe's earliest galaxies, and the aspect of star formation processes. These omissions result in a generally similar meaning but with some loss of detailed information.",4.875,0.728
5,1751318661.740778,gpt-4o-2024-11-20,openai,"Quantum entanglement, described by Einstein as 'spooky action at a distance,' occurs when two particles become correlated in such a way that measuring the quantum state of one particle instantly determines the state of its partner, regardless of the physical distance separating them, challenging our classical understanding of locality and causality in physics.","⚛️🔗Quantum entanglement defies 🕒📏, enabling instant🌌.","Quantum entanglement defies the constraints of time and space, enabling instantaneous connections across the universe.",0.15,0.1464088397790055,True,7,362,53,118,309,85.35911602209944,0.6736001372337341,0.0029081219166353,0.0769230769230769,0.5,0.3680462809380627,Poor,"The decompressed sentence captures the core concept of quantum entanglement as involving instantaneous connections across distances, which aligns with the original sentence's description of particles being correlated regardless of distance. However, it lacks specific details present in the original, such as the mention of Einstein's description, the process of measuring quantum states, and the challenge to classical physics concepts like locality and causality. The decompressed version simplifies and generalizes the concept, resulting in significant information loss regarding the scientific context and implications.",2.2264150943396226,0.3259668508287293
6,1751318673.970978,gpt-4o-2024-11-20,openai,"The Amazon rainforest ecosystem supports over 400 billion individual trees representing approximately 16,000 different species, creates roughly 20% of the world's oxygen, and serves as home to an estimated 10% of Earth's biodiversity, while also playing a crucial role in global climate regulation through its massive carbon storage capacity.","🌳Amazon:$400B,16K🦜,10%🌍bio,20%🌬️O₂,♻️CO₂,🌡️↔️","The Amazon rainforest, valued at $400 billion, is home to 16,000 species of parrots and contributes 10% of the Earth's biodiversity. It produces 20% of the planet's oxygen, recycles carbon dioxide, and plays a crucial role in regulating global temperatures.",0.15,0.131578947368421,True,4,342,45,257,297,86.8421052631579,0.7515591979026794,0.1735169389817054,0.4137931034482758,0.4,0.4629297678568,Moderate,"The decompressed sentence retains some key elements from the original, such as the Amazon rainforest's contribution to 10% of Earth's biodiversity, its production of 20% of the world's oxygen, and its role in regulating global climate. However, there are significant inaccuracies and omissions. The original mentions ""over 400 billion individual trees"" and ""approximately 16,000 different species,"" while the decompressed version incorrectly states ""16,000 species of parrots"" and assigns a monetary value of ""$400 billion"" to the rainforest, which is not present in the original. Additionally, the original emphasizes the rainforest's massive carbon storage capacity, while the decompressed version mentions ""recycles carbon dioxide"" without the same emphasis on storage. These discrepancies result in a partial similarity with significant information differences.",5.711111111111111,0.7514619883040936
7,1751318683.250365,gpt-4o-2024-11-20,openai,"Machine learning algorithms trained on vast datasets of human language can now generate coherent text, translate between languages, answer complex questions, and even write computer code, but they fundamentally operate through statistical pattern recognition rather than true understanding, raising philosophical questions about the nature of intelligence and consciousness.",🤖📚→📝🌐💻❓; ⚙️≠🧠→🤔+🧵AI.,"Robots and artificial intelligence can process and generate information for the digital world, but does that mean they truly understand it? Technology is not the same as human intelligence, which involves critical thinking and interconnected reasoning.",0.15,0.053475935828877,True,2,374,20,252,354,94.6524064171123,0.4666457176208496,0.0107774188903427,0.09375,0.4,0.2808991990643234,Poor,"The two sentences share a thematic focus on the capabilities and limitations of artificial intelligence, particularly in relation to understanding and intelligence. Both mention the ability of AI to process and generate information, and both raise questions about the nature of true understanding and intelligence. However, the original sentence provides specific examples of AI capabilities (e.g., generating text, translating languages, answering questions, writing code) and emphasizes the statistical nature of AI's operation. In contrast, the decompressed sentence generalizes AI as ""robots and artificial intelligence"" and contrasts technology with human intelligence, emphasizing critical thinking and reasoning. The decompressed version lacks the detailed examples and the specific mention of statistical pattern recognition, resulting in significant information differences.",12.6,0.6737967914438503
8,1751318694.0762591,gpt-4o-2024-11-20,openai,"The Great Pacific Garbage Patch, a massive accumulation of plastic debris floating in the North Pacific Ocean between Hawaii and California, covers an area larger than twice the size of Texas and contains an estimated 80,000 metric tons of plastic waste that poses severe threats to marine life through ingestion, entanglement, and toxic chemical leaching.","🌊🗑️: 2×TX, 80kT plastic, 🐟⚠️ (ingest, entangle, ☠️).","The ocean is being polluted with approximately 80,000 tons of plastic annually, equivalent to two times the weight of the Titanic, which poses severe risks to marine life as fish ingest the plastic, become entangled in it, and face fatal consequences.",0.15,0.146067415730337,True,3,356,52,251,304,85.39325842696628,0.651779294013977,0.037583872911756,0.2121212121212121,0.5,0.3954748052107867,Poor,"Both sentences discuss the issue of plastic pollution in the ocean and its harmful effects on marine life. However, the original sentence specifically refers to the Great Pacific Garbage Patch, its location, and its size relative to Texas, while the decompressed sentence generalizes the pollution to the ocean without specifying the location or the specific area affected. The decompressed sentence also uses a different analogy (weight of the Titanic) to describe the amount of plastic, which changes the context. Additionally, the original sentence mentions toxic chemical leaching as a threat, which is not included in the decompressed version. Overall, while both sentences convey the idea of plastic pollution and its dangers to marine life, significant details and context are lost or altered in the decompressed version.",4.826923076923077,0.7050561797752809
9,1751318702.8171709,gpt-4o-2024-11-20,openai,"CRISPR-Cas9 gene editing technology allows scientists to make precise modifications to DNA sequences by using a guide RNA to direct the Cas9 enzyme to specific genomic locations where it cuts the double helix, enabling researchers to delete, insert, or replace genetic material with unprecedented accuracy and potentially cure inherited diseases.",🧬CRISPR-Cas9🔧DNA w/🧭RNA➡️🎯gene edits🩺cure diseases.,"CRISPR-Cas9 technology uses a DNA-editing tool guided by RNA to precisely target and modify genes, offering the potential to cure diseases.",0.15,0.1473988439306358,True,2,346,51,139,295,85.26011560693641,0.9467933177947998,0.0086405214576787,0.15625,0.7,0.5270160996299756,Moderate,"The decompressed sentence retains the core concept of CRISPR-Cas9 technology being used for precise gene editing with the potential to cure diseases. However, it loses several specific details present in the original sentence. The original mentions the use of a guide RNA to direct the Cas9 enzyme to specific genomic locations, the process of cutting the double helix, and the ability to delete, insert, or replace genetic material with unprecedented accuracy. These details are not explicitly mentioned in the decompressed version, resulting in a general similarity but with some loss of specific information.",2.7254901960784315,0.4017341040462427
